GDP,Import($),Export($),Population,Unemployment.rate(%),Minimum.Wage($/month),GDP.per.capita (in $),Real GDP Growth (in%),Gov.Expenditure.%.of.GDP,Tax.total.rate(%)
10.28106415,9.708335903,9.02489596,7.580260533,1.826074803,-0.953895213,2.831229694,0,-0.530060225,-0.146301788
10.18406871,10.77956763,10.47411424,6.455483032,1.634809665,-0.909036923,4.291590826,-1.443697499,-0.503208684,-0.436518915
11.23041887,10.02918079,10.11501107,7.634003964,2.171246564,-0.931814138,4.136086097,-1.420216403,-0.505525371,-0.179798541
9.498869674,9.299898889,8.402029304,4.887290894,3.160360469,-2,4.833975371,-1.677780705,-0.444047489,-1
10.97605369,9.55339751,9.991403303,7.502772438,1.589815608,-1.161780778,3.850033258,-1.886056648,-0.661404076,-0.308918508
9.237483229,8.825850301,7.484255325,4.98729973,3.811575006,-0.823908741,4.405687787,-1.251811973,-0.648493577,-0.366531544
11.65288759,9.663983455,9.73223288,7.652620621,4.629001619,-1.009217308,4.423409728,0,-0.428908701,0.026533265
10.13585753,9.09482038,8.975431809,6.470958673,2.269335454,-0.769806621,4.295347148,-1.15490196,-0.578511242,-0.645891561
12.14385152,10.56232856,10.6680223,7.4110572,1.182699903,-1.278189385,4.810702861,-1.744727495,-0.415318315,-0.324221658
11.64964123,10.30457669,10.30222267,6.948269498,0.843232778,-1.330683119,4.839289456,-3,-0.280776471,-0.289036881
10.59336361,9.62134041,12.82406763,7.001011509,2.307282047,-1.258848401,4.271609301,-1.602059991,-0.530708294,-0.390405591
10.10812509,9.015359755,8.252853031,5.590487391,3.017033339,-0.984640245,4.652729696,-1.366531544,-0.567608015,-0.4710833
10.58629545,8.728353782,8.544068044,6.176564382,2.901933224,-2.148741651,4.783331763,-1.568636236,-0.535883206,-0.860120914
11.48082767,10.81551134,10.74476224,8.223524074,1,-1.377785977,3.938019097,-1.22184875,-0.900112273,-0.476253533
9.716754357,9.555221452,7.786318331,5.457919726,0.875061263,-0.985899678,4.272769587,-1.346787486,-0.505261172,-0.448550002
10.79989483,9.588159616,9.547159121,6.976205771,2.291923576,-1.338187314,4.380573003,-1.795880017,-0.433892626,-0.273272791
11.72395348,10.37106786,10.60852603,7.060095264,3.310058928,-1.252588192,4.818291891,-2,-0.270268405,-0.256490235
9.274068579,8.434966293,7.224584854,5.591457521,3.316819222,-1.19314197,4.048053173,-1.397940009,-0.641018774,-0.507239611
10.15808219,9.528273777,9.021189299,7.071924367,0.514813295,-1.651695137,3.63447727,-1.259637311,-0.709742731,-0.310691141
9.388576125,8.780317312,7.361727836,5.861621022,3.380211242,-1.630784143,4.155336037,-1.27572413,-0.457984185,-0.452225295
10.61167364,8.957607287,8.977266212,7.061192277,3.64777405,-1.455931956,4.014520539,-1.744727495,-0.439985712,-0.077274542
10.30206777,9.113943352,9.964730921,6.518645524,2.719264977,-0.734710374,4.2929203,-1.698970004,-0.423025525,-0.625251654
10.26341143,8.700045721,8.894316063,6.370361143,2.587630159,-0.740167301,4.287577809,-1.420216403,-0.496999662,-0.600326279
12.26476071,10.25973719,10.37095696,8.32748035,2.422389552,-0.917933066,4.302763708,-1.508638306,-0.363291502,-0.186419011
10.12934899,8.942008053,9.164055292,5.636773654,2.698970004,-1.040005162,4.860996437,0,-0.601469752,-1.096910013
10.93449845,10.72427587,10.67209786,6.843591593,2.633599734,-1.36251027,4.528659645,-1.769551079,-0.417459403,-0.548213564
10.19716501,9.740362689,9.653212514,7.307953154,1.866989914,-1.203425667,3.428134794,-1.356547324,-0.503928724,-0.384049948
9.478903251,9.010723865,8.214843848,7.061851153,3.511616021,-1.844663963,2.949477833,-1.48148606,-0.409002213,-0.385102784
10.76931975,9.204119983,9,7.410212604,2.094051656,-1.478861916,3.84260924,-1.161150909,-0.668653698,-0.300162274
9.297069848,9.050263723,8.074084689,5.684511437,2.097222593,-0.911863911,3.996073654,-1.356547324,-0.550351927,-0.425968732
10.43279922,9.785329835,9.77815125,7.217129573,2.301029996,-2.167491087,3.784617293,-1.251811973,-0.581019619,-0.63638802
10.588389,11.59328607,11.40312052,7.41290352,1.856928173,-1.4710833,3.668385917,-1.397940009,-0.745693668,-0.238824187
12.23965619,10.79497574,10.79918886,7.568107589,1.085647288,-1.254925208,4.776773802,-1.886056648,-0.382203134,-0.610833916
9.3464131,8.459392488,7.176091259,6.676253149,2.936513742,-1.434152181,3.045322979,-2,-0.746758946,-0.134896025
10.05365269,9.936915681,7.498999364,7.202675617,3.380211242,-1.723538196,3.257678575,-1.397940009,-0.780075087,-0.197226275
11.45073881,10.89762709,10.97772361,7.277655919,2.698970004,-1.149353765,4.476106717,0,-0.575820986,-0.468521083
13.29907126,11.34635297,11.48855072,9.145418626,3.212720154,-1.364516253,4.367542274,-1.301029996,-0.480421371,-0.227678293
11.51028061,9.720985744,9.574031268,7.701908406,2.466541406,-1.01278077,4.289588953,-1.853871964,-0.465491612,-0.147520006
9.073985323,9.644438589,6.367355921,5.929871378,2.079072659,-1.36251027,3.539076099,-1.522878745,-0.753698423,0.341632336
10.03425099,9.371437317,9.373279893,6.730823281,1.966000858,-1.023650021,3.744292983,-1.397940009,-0.607039385,-0.26520017
10.79080533,9.269512944,9.125806458,6.703081576,2.946211469,-0.92628165,4.428296814,-1.356547324,-0.713341475,-0.234331445
10.78114876,9.505149978,9.278753601,6.609327562,2.89619541,-1.159266765,4.632153484,-1.568636236,-0.340216865,-0.688246139
11.00009988,9.925879089,9.293583513,7.054363398,1,-1.785156152,3.870462432,-1.744727495,-0.302770657,-0.455931956
10.39031054,8.933128264,9.492744469,6.078665215,2.981904642,-1.138465589,4.777644278,-1.657577319,-0.399473601,-0.649751982
11.39179798,11.35793485,10.26007139,7.028152575,2.880785019,-1.714442691,4.690461893,-2.698970004,-0.348315026,-0.336299075
10.67504129,8.371344983,8.373279893,7.938472526,1.966000858,-1.372634143,3.178976947,-1.173925197,-0.726836622,-0.294992041
11.5416766,10.30770992,11.13513265,6.764814995,1,-1.308918508,4.874829578,-1.769551079,-0.308132006,-0.623423043
9.520970136,8.281941933,7.677606953,5.988362722,3.380211242,-0.987162775,3.844477176,-1.301029996,-0.705842519,-0.42136079
8.775270548,7.844477176,7.857935265,4.856172831,2.761762505,-1.251811973,4.156851901,-1.337242168,-0.297001117,-0.4867824
10.94910346,9.38039216,9.01745073,7.030962144,2.761175813,-1.233587153,4.40688067,-1.522878745,-0.726050107,-0.311580178
11.03114848,9.414973348,10.49276039,7.239891368,2.653212514,-1.401209493,4.123524981,-1.853871964,-0.443106778,-0.463441557
11.48169357,9.813447544,9.541079768,8.001682118,2.054076557,-0.968187729,4.23350376,-1.37675071,-0.607285464,-0.35261703
10.43172778,9.212187604,9.873320602,6.809798881,2.383644845,-1.386158178,4.068927612,-1.657577319,-0.537661909,-0.438898616
10.04244851,8.729893404,9.522665889,6.132255206,2.32974355,-1.191789027,4.263872677,0,-0.909777228,-0.100179498
9.314920398,8.636332405,8.820776634,6.801618746,1.380211242,-1.289036881,2.854366778,-1.585026652,-0.420811108,-0.077274542
10.49674912,9.230448921,9.146128036,6.124446837,2.949765582,-1.2915791,4.655522596,0,-0.39592522,-0.320572103
9.578788649,9.32674538,9.315648977,6.038714719,1.444247836,-0.657577319,4.074084689,-1.508638306,-0.509100866,-0.823908741
10.98275801,9.592143434,8.995635195,8.049523201,1.342422681,-1.681936665,3.57054294,-1.214670165,-0.896333086,-0.42365865
9.743160697,8.814149669,8.395137604,5.949367071,1.740362689,-1.387216143,4.219060332,-1.124938737,-0.466901888,-0.493494968
11.42936657,9.800680547,9.790594691,6.741963781,1,-1.181114585,4.777209258,0,-0.267204302,-0.436518915
12.43385273,10.77908106,10.71928945,7.826462817,3.284117026,-1.074172425,4.769155691,-2,-0.233081762,-0.216811309
10.22162182,8.770852012,9.41755049,6.336975577,2.360763766,-0.698970004,4.282622113,-1.552841969,-0.806764058,-0.326979093
9.246454028,7.881254965,5.827574739,6.37064371,2.857332496,-1.042871802,3.45331834,-1.251811973,-0.66456216,-0.315154638
10.24903184,9.013679697,8.530199698,6.570587534,0.890421019,-0.841637508,4.349471799,-1.207608311,-0.530634601,-1.004364805
12.5849675,8.063944694,11.16411631,7.919772403,3.308973759,-1.517126416,4.819807065,0,-0.303608659,-0.311580178
10.82596871,9.113274692,9.188365926,7.488446473,1.722633923,-1.363512104,3.839478047,-1.920818754,-0.592490127,-0.256490235
11.32191469,9.847005417,9.633721777,7.030045755,2.943222378,-0.763462739,4.600537294,-1.602059991,-0.255480147,-0.284832642
9.089258616,7.924279286,7.361727836,5.049229655,2.645029065,-1.181114585,4.305351369,-1.408935393,-0.483821727,-0.320572103
10.88485417,9.433449794,9.026941628,7.220213405,2.59355188,-1.609064893,4.025305865,-1.468521083,-0.836540448,-0.453457337
10.13322846,9.076640444,9.068927612,7.10623327,1.806641167,-1.366531544,3.51054501,-1.229147988,-0.85917782,-0.159266765
9.127230988,5.501585029,4.433625845,6.28350973,2.004837061,-1.607303047,3.478422188,-1.346787486,-0.666653502,-0.341988603
9.631488784,9.437909036,9.486430479,5.893631954,-0.152427341,-0.92628165,4.78604121,-0.415668776,-0.686955767,-0.514278574
9.9293669,8.28780173,7.914977472,7.051657053,0.609594409,-0.860750782,3.503790683,0,-0.992892617,-0.369572125
11.57580304,9.605735894,10.4456042,8.382899152,2.030518765,-1.070581074,3.168497484,-2.698970004,-0.701911431,-0.455931956
10.39959404,9.16790781,8.592176757,6.988831621,2.518329655,-1.268411235,3.854913022,-1.537602002,-0.611756663,-0.407823243
11.20673727,10.06893406,10.09525997,6.989892297,2.899760332,-1.468521083,4.639486489,0,-0.301229817,-0.42136079
10.3836006,8.854357713,8.754959454,5.557883588,1.104487111,-1.54668166,4.844042042,-1.48148606,-0.336374447,-0.496209317
12.41680687,10.73567873,10.56726169,9.135583496,2.484014963,-1.27083521,3.962842681,-1.200659451,-0.540682917,-0.303643611
12.04890412,10.26705434,10.31162673,8.43169164,2.189274095,-1.328827157,4.199755177,-1.301029996,-0.755970411,-0.521433504
11.64869686,10.14671704,10.09558775,7.918627375,2.361727836,-0.943857738,4.299725154,-1.522878745,-0.910412781,-0.349692477
11.36939036,10.03015427,10.3617656,7.594500646,2.46686762,-0.892111975,4.069668097,0,-0.455572261,-0.511449283
11.5896131,10.10069562,10.1683667,6.699583576,1.127428778,-1.307153081,5.138744664,-1.698970004,-0.655391615,-0.583359493
11.59670556,9.818027842,9.679246145,6.956806912,3.194464388,-1.413412695,4.738542741,-1.508638306,-0.43323264,-0.596879479
12.30130013,10.65742502,10.71068619,7.780298557,1,-1.004803708,4.734479789,-2.15490196,-0.245460556,-0.228412519
10.21637893,9.283002322,8.722127773,6.469568579,1.925312091,-1.096910013,4.113609151,-1.698970004,-0.536360797,-0.454692884
12.70601497,10.77397335,10.68026137,8.101150774,3.57082304,-1.640164518,4.717004407,-1.698970004,-0.356428896,-0.330683119
10.64091514,9.265745275,9.005017093,7.004394209,2.563481085,-0.83209219,4.10754913,-1.585026652,-0.480644608,-0.543633967
11.25566257,9.813781078,9.855821905,7.267498617,1.424881637,-1.338187314,4.514680544,-1.337242168,-0.663680384,-0.54668166
10.98001742,9.22785462,8.811552478,7.720770798,2.068000226,-1.578396073,3.818225894,-1.301029996,-0.629135472,-0.42945706
12.26951294,10.44494993,11.6284911,8.159700586,2.260071388,-1.522878745,4.547897718,-1.647817482,-0.437005692,-0.886056648
11.12956487,9.959973811,10.3206847,6.62398108,2.289722698,-1.661543506,4.713994268,0,-0.390672438,-0.886056648
9.927094073,9.06669855,8.694605199,6.81002406,1.440909082,-1.19859629,3.808885867,-1.468521083,-0.399299304,-0.537602002
10.25944668,9.264109156,9.30920418,6.855486143,1.913813852,-2.200659451,3.990782692,-1.397940009,-0.781727146,-0.617982957
10.53297341,9.234168898,9.244891306,6.281667066,2.843506852,-1.185752404,4.611617111,-2.301029996,-0.4062046,-0.419075024
10.72727313,9.160468531,8.361727836,6.836052628,2.178271725,-1.205511953,3.509202522,-2.698970004,-0.795120666,-0.492144128
9.390947896,8.597361138,8.281243669,6.327413703,2.842952297,-0.630598586,3.000434077,-1.677780705,-0.320254222,-0.866461092
9.487211662,8.294466226,7.832508913,6.693496026,2.217483944,-1.55129368,3.252853031,-1.337242168,-0.524663013,-0.335358024
10.71663971,9.549411374,9.832484106,6.83106645,2.310884402,-0.731422028,4.387033701,-0.903089987,-0.219243574,-0.4867824
9.816430806,8.630890615,9.533122426,4.58000069,1,-1.181114585,5.295575896,0,-0.645891561,-0.665546249
10.73415403,9.559765714,9.523896013,6.445112659,2.967547976,-1.197226275,4.692318044,-3,-0.436625721,-0.370590401
